AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1284.0,-20956.0,11244.0,-6804.0,1425.0,-7933.0
1880.0,-21240.0,11948.0,12718.0,-2990.0,-3881.0
3244.0,-13000.0,11844.0,23968.0,-2770.0,2122.0
2468.0,-1308.0,13556.0,12546.0,237.0,6124.0
1376.0,2808.0,13616.0,-6545.0,3161.0,6457.0
1364.0,-10768.0,12004.0,-16168.0,4481.0,2075.0
2232.0,-19132.0,10048.0,-9399.0,3854.0,-6080.0
1200.0,-19888.0,11156.0,5269.0,547.0,-4744.0
2612.0,-16288.0,11624.0,18027.0,-2175.0,731.0
2712.0,-8324.0,12564.0,14621.0,-790.0,4950.0
1836.0,1140.0,13976.0,-2152.0,2133.0,4428.0
1380.0,-4452.0,11940.0,-15809.0,4364.0,2381.0
2032.0,-17900.0,10212.0,-16404.0,4916.0,-4687.0
1264.0,-21576.0,10300.0,-1433.0,1269.0,-7233.0
2444.0,-20264.0,11244.0,16588.0,-2378.0,-1645.0
3452.0,-12512.0,10904.0,27209.0,-1361.0,3796.0
2604.0,-2312.0,13780.0,14751.0,1151.0,5816.0
1692.0,3884.0,14484.0,-5912.0,4171.0,6182.0
1256.0,-8508.0,12624.0,-17900.0,5808.0,1885.0
2180.0,-19132.0,10940.0,-13943.0,5082.0,-6453.0
792.0,-20304.0,11396.0,1988.0,931.0,-5816.0
2160.0,-17300.0,12288.0,16308.0,-2459.0,-70.0
2456.0,-9376.0,13004.0,17512.0,-1690.0,4414.0
1732.0,-392.0,14296.0,3168.0,531.0,4119.0
1100.0,-2188.0,12516.0,-12256.0,2960.0,3085.0
1524.0,-15584.0,11524.0,-16669.0,4188.0,-2682.0
1600.0,-20300.0,9996.0,-3617.0,2083.0,-6885.0
1708.0,-20968.0,10848.0,13858.0,-1662.0,-2426.0
3324.0,-13856.0,10636.0,26225.0,-1716.0,3079.0
2624.0,-4200.0,13072.0,16254.0,919.0,6133.0
2016.0,3272.0,14028.0,-2633.0,3706.0,6418.0
1320.0,-7112.0,12500.0,-14946.0,5006.0,2838.0
2124.0,-18188.0,11240.0,-12299.0,4379.0,-5086.0
1416.0,-20280.0,11628.0,3079.0,1613.0,-5698.0
2176.0,-16400.0,12492.0,15524.0,-793.0,-367.0
2372.0,-9628.0,13052.0,17262.0,-5.0,4016.0
2024.0,-2200.0,14036.0,6421.0,1680.0,3758.0
1576.0,-3236.0,13292.0,-6438.0,3304.0,2344.0
1816.0,-13244.0,12380.0,-10073.0,4523.0,-1845.0
1504.0,-15884.0,12348.0,-3915.0,3521.0,-4663.0
1056.0,-15200.0,13080.0,5252.0,309.0,-1283.0
2180.0,-11236.0,13772.0,7909.0,-629.0,1468.0
1848.0,-4144.0,14156.0,-1574.0,1344.0,1940.0
1216.0,-4220.0,13148.0,-12834.0,3243.0,977.0
1812.0,-12716.0,11960.0,-16579.0,3672.0,-3070.0
1700.0,-18596.0,9828.0,-6534.0,2507.0,-4885.0
1676.0,-19320.0,11956.0,8066.0,-993.0,-2166.0
2552.0,-11216.0,12304.0,12614.0,-2056.0,1695.0
2280.0,-4440.0,12168.0,5914.0,116.0,5398.0
1984.0,-7052.0,11720.0,-3136.0,2520.0,4347.0
1640.0,-15316.0,10400.0,-1771.0,2844.0,857.0
1692.0,-18532.0,11484.0,7082.0,444.0,-1107.0
1932.0,-14672.0,11528.0,16239.0,-1301.0,2100.0
2132.0,-7796.0,12816.0,11674.0,292.0,4887.0
1712.0,-3388.0,13096.0,-1093.0,2171.0,4498.0
1368.0,-8708.0,11856.0,-10467.0,3559.0,887.0
1740.0,-17248.0,10516.0,-8060.0,3429.0,-4116.0
1440.0,-19324.0,11032.0,3678.0,794.0,-4154.0
